Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2013);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;16860;"The Lancet Neurology";journal;"14744422";11,392;Q1;240;245;718;8110;8144;288;26,69;33,10;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
2;14317;"Brain";journal;"14602156, 00068950";6,203;Q1;296;361;1069;17706;10447;852;11,58;49,05;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
3;3600148102;"Alzheimer's and Dementia";journal;"15525260, 15525279";6,160;Q1;84;112;234;5482;3023;197;17,52;48,95;Netherlands;"Elsevier BV";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
4;17552;"Acta Neuropathologica";journal;"14320533, 00016322";5,814;Q1;136;151;434;8740;4220;374;10,46;57,88;Germany;"Springer Verlag";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
5;14179;"Annals of Neurology";journal;"03645134, 15318249";5,769;Q1;266;245;946;7327;7835;626;12,39;29,91;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
6;14351;"Brain Research Reviews";journal;"01650173";4,551;Q1;180;0;93;0;890;89;7,07;0,00;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
7;20618;"Stroke";journal;"15244628, 00392499";3,925;Q1;285;823;2313;18998;13230;1766;6,98;23,08;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
8;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,479;Q1;166;258;576;17172;3814;567;6,19;66,56;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
9;19837;"Sleep Medicine Reviews";journal;"10870792";3,403;Q1;116;54;147;4469;1272;114;9,78;82,76;United Kingdom;"Elsevier Ltd.";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
10;17700156408;"Nature Reviews Neurology";journal;"17594758, 17594766";3,356;Q1;113;190;578;6960;3180;430;7,47;36,63;United Kingdom;"Nature Publishing Group";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
11;17952;"Neurology";journal;"00283878";3,266;Q1;322;1224;3444;19228;15936;2085;7,55;15,71;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
12;21100228519;"JAMA Neurology";journal;"21686149, 21686157";3,006;Q1;203;315;932;6228;4951;700;6,48;19,77;United States;"American Medical Association";"Neurology (clinical) (Q1)"
13;18148;"Pain";journal;"03043959";2,987;Q1;229;408;1210;19137;6742;896;7,00;46,90;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
14;12499;"Neuro-Oncology";journal;"15228517";2,980;Q1;94;196;469;7104;2976;424;6,45;36,24;United States;"Oxford University Press";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)"
15;18059;"Neuroscientist";journal;"10738584";2,972;Q1;107;64;189;4022;1109;188;6,60;62,84;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
16;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,882;Q1;170;246;657;10966;3960;611;5,96;44,58;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
17;17407;"Movement Disorders";journal;"15318257, 08853185";2,812;Q1;166;445;1594;12960;6719;1030;6,63;29,12;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
