Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;16860;"The Lancet Neurology";journal;"14744422";11,788;Q1;240;330;792;8051;8235;302;25,33;24,40;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
2;17552;"Acta Neuropathologica";journal;"14320533, 00016322";6,703;Q1;136;130;443;8779;4357;354;12,47;67,53;Germany;"Springer Verlag";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
3;14317;"Brain";journal;"14602156, 00068950";5,737;Q1;296;367;1137;15662;8777;811;10,58;42,68;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
4;14179;"Annals of Neurology";journal;"03645134, 15318249";5,645;Q1;266;237;737;8001;5567;545;9,97;33,76;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
5;17700156408;"Nature Reviews Neurology";journal;"17594758, 17594766";5,563;Q1;113;176;539;8184;3762;314;11,84;46,50;United Kingdom;"Nature Publishing Group";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
6;21100228519;"JAMA Neurology";journal;"21686149, 21686157";4,453;Q1;203;383;950;6632;5118;572;9,60;17,32;United States;"American Medical Association";"Neurology (clinical) (Q1)"
7;3600148102;"Alzheimer's and Dementia";journal;"15525260, 15525279";4,385;Q1;84;127;423;6483;3924;403;8,80;51,05;Netherlands;"Elsevier BV";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
8;5700191214;"Molecular Neurodegeneration";journal;"17501326";3,684;Q1;60;77;176;4576;1277;171;7,08;59,43;United Kingdom;"BioMed Central";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
9;17952;"Neurology";journal;"00283878";3,664;Q1;322;1230;3643;21389;14550;1918;7,23;17,39;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
10;20618;"Stroke";journal;"15244628, 00392499";3,525;Q1;285;624;2339;15196;12144;1862;6,04;24,35;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
