Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2008);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;14317;"Brain";journal;"14602156, 00068950";5,542;Q1;296;320;958;16618;8703;807;10,56;51,93;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
2;14179;"Annals of Neurology";journal;"03645134, 15318249";5,274;Q1;266;268;834;9094;6395;621;10,36;33,93;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
3;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,785;Q1;166;120;311;6595;1943;309;5,17;54,96;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
4;14351;"Brain Research Reviews";journal;"01650173";3,574;Q1;180;111;265;11623;1894;261;7,03;104,71;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
5;16860;"The Lancet Neurology";journal;"14744422";3,458;Q1;240;249;704;8263;4474;502;11,67;33,18;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
6;20618;"Stroke";journal;"15244628, 00392499";3,285;Q1;285;694;2036;16081;11629;1522;7,10;23,17;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
7;18148;"Pain";journal;"03043959";3,030;Q1;229;432;984;17167;5691;779;6,63;39,74;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
8;18059;"Neuroscientist";journal;"10738584";2,932;Q1;107;78;251;4463;1088;221;4,34;57,22;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
9;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,909;Q1;149;115;371;5561;1979;349;5,50;48,36;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
10;17952;"Neurology";journal;"00283878";2,714;Q1;322;1111;3957;18033;17743;2847;6,09;16,23;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
11;21100228519;"JAMA Neurology";journal;"21686149, 21686157";2,624;Q1;203;308;973;5896;4653;766;5,73;19,14;United States;"American Medical Association";"Neurology (clinical) (Q1)"
12;5700191214;"Molecular Neurodegeneration";journal;"17501326";2,575;Q1;60;30;42;1169;170;42;4,05;38,97;United Kingdom;"BioMed Central";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
