Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2014);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;16860;"The Lancet Neurology";journal;"14744422";11,510;Q1;240;271;706;8875;7618;271;27,24;32,75;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
2;3600148102;"Alzheimer's and Dementia";journal;"15525260, 15525279";6,496;Q1;84;163;281;8132;3878;250;10,67;49,89;Netherlands;"Elsevier BV";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
3;14179;"Annals of Neurology";journal;"03645134, 15318249";6,021;Q1;266;255;857;7193;7485;603;10,96;28,21;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
4;14317;"Brain";journal;"14602156, 00068950";5,838;Q1;296;362;1073;16152;9924;850;10,68;44,62;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
5;17552;"Acta Neuropathologica";journal;"14320533, 00016322";5,743;Q1;136;156;438;9639;4495;375;12,38;61,79;Germany;"Springer Verlag";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
6;17700156408;"Nature Reviews Neurology";journal;"17594758, 17594766";3,955;Q1;113;172;573;7637;3210;363;8,78;44,40;United Kingdom;"Nature Publishing Group";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
7;20618;"Stroke";journal;"15244628, 00392499";3,790;Q1;285;793;2419;19183;13508;1839;6,65;24,19;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
8;17952;"Neurology";journal;"00283878";3,514;Q1;322;1206;3536;19829;16041;2012;7,93;16,44;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
9;18059;"Neuroscientist";journal;"10738584";3,331;Q1;107;62;177;4460;1126;172;5,85;71,94;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
10;18148;"Pain";journal;"03043959";3,326;Q1;229;385;1234;16392;6766;930;6,32;42,58;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
11;5700191214;"Molecular Neurodegeneration";journal;"17501326";3,315;Q1;60;60;197;2552;1316;196;7,13;42,53;United Kingdom;"BioMed Central";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
12;21100228519;"JAMA Neurology";journal;"21686149, 21686157";3,291;Q1;203;305;938;6194;4839;681;7,32;20,31;United States;"American Medical Association";"Neurology (clinical) (Q1)"
13;19837;"Sleep Medicine Reviews";journal;"10870792";3,179;Q1;116;63;154;4654;1234;121;9,54;73,87;United Kingdom;"Elsevier Ltd.";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
14;12499;"Neuro-Oncology";journal;"15228517";3,079;Q1;94;233;515;8336;3338;454;7,49;35,78;United States;"Oxford University Press";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)"
15;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,044;Q1;166;454;669;30262;4174;663;5,84;66,66;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
16;14351;"Brain Research Reviews";journal;"01650173";3,014;Q1;180;0;47;0;319;44;0,00;0,00;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
17;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330, 00223050";2,958;Q1;182;300;926;8120;4692;692;7,32;27,07;United Kingdom;"BMJ Publishing Group";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
18;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,940;Q1;170;245;701;9390;4094;657;6,18;38,33;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
19;23985;"Neurobiology of Aging";journal;"01974580";2,765;Q1;159;435;1220;20953;6876;1200;5,61;48,17;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
20;15510;"Epilepsia";journal;"00139580, 15281167";2,660;Q1;168;350;1260;9276;6482;1145;5,57;26,50;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
21;21100229200;"Frontiers in Evolutionary Neuroscience";journal;"1663070";2,633;Q1;16;0;27;0;113;24;5,81;0,00;Switzerland;"Frontiers Media S.A.";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
