Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2011);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;16860;"The Lancet Neurology";journal;"14744422";9,711;Q1;240;224;749;7508;8331;340;25,00;33,52;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
2;14179;"Annals of Neurology";journal;"03645134, 15318249";5,636;Q1;266;334;879;9816;7283;589;12,01;29,39;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
3;14317;"Brain";journal;"14602156, 00068950";5,615;Q1;296;350;1027;18209;10226;850;11,22;52,03;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
4;14351;"Brain Research Reviews";journal;"01650173";5,011;Q1;180;47;227;6216;2422;223;11,75;132,26;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
5;17552;"Acta Neuropathologica";journal;"14320533, 00016322";4,086;Q1;136;140;434;7748;3526;371;10,51;55,34;Germany;"Springer Verlag";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
6;20618;"Stroke";journal;"15244628, 00392499";3,598;Q1;285;859;2331;33284;13287;1822;6,80;38,75;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
7;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,559;Q1;166;184;629;10821;4308;619;6,84;58,81;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
8;21100228519;"JAMA Neurology";journal;"21686149, 21686157";3,446;Q1;203;332;929;6554;5563;710;7,52;19,74;United States;"American Medical Association";"Neurology (clinical) (Q1)"
9;17952;"Neurology";journal;"00283878";3,203;Q1;322;1169;3414;17815;16499;2268;7,02;15,24;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
10;14945;"Cortex";journal;"00109452";2,769;Q1;93;146;428;7551;2108;373;5,79;51,72;France;"Masson Publishing";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Neuropsychology and Physiological Psychology (Q1)"
11;18148;"Pain";journal;"03043959";2,740;Q1;229;454;1173;18816;6534;912;6,80;41,44;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
12;33648;"Neurorehabilitation and Neural Repair";journal;"15459683";2,730;Q1;87;95;270;3690;1564;257;5,43;38,84;United States;"Sage Science Press";"Neurology (Q1); Neurology (clinical) (Q1); Rehabilitation (Q1)"
13;11700154204;"Brain Stimulation";journal;"1935861";2,619;Q1;55;45;115;1574;586;81;4,55;34,98;Netherlands;"Elsevier BV";"Biophysics (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
14;12499;"Neuro-Oncology";journal;"15228517";2,587;Q1;94;143;318;5748;1708;281;5,96;40,20;United States;"Oxford University Press";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)"
15;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,467;Q1;170;249;598;9650;3359;569;5,65;38,76;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
16;5100155080;"Neurotherapeutics";journal;"19337213";2,457;Q1;96;68;193;6372;1432;180;7,07;93,71;United States;"Springer New York LLC";"Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
17;17300154985;"Autism Research";journal;"19393806";2,431;Q1;49;47;117;2674;506;104;4,14;56,89;United States;"John Wiley & Sons Inc.";"Genetics (clinical) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
18;19830;"Sleep";journal;"01618105";2,407;Q1;175;238;627;8547;3482;502;6,37;35,91;United States;"Oxford University Press";"Neurology (clinical) (Q1); Physiology (medical) (Q1)"
19;23985;"Neurobiology of Aging";journal;"01974580";2,375;Q1;159;314;633;15106;3594;613;5,58;48,11;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
20;17407;"Movement Disorders";journal;"15318257, 08853185";2,343;Q1;166;564;1606;16277;6554;1233;4,99;28,86;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
21;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330, 00223050";2,301;Q1;182;339;1103;7957;4636;847;5,00;23,47;United Kingdom;"BMJ Publishing Group";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
22;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,290;Q1;149;101;353;5160;1671;334;4,83;51,09;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
23;19837;"Sleep Medicine Reviews";journal;"10870792";2,238;Q1;116;47;135;3710;909;104;8,89;78,94;United Kingdom;"Elsevier Ltd.";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
24;14993;"Current Opinion in Neurology";journal;"13507540, 14736551";2,189;Q1;107;103;347;5454;1888;311;5,84;52,95;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (Q1); Neurology (clinical) (Q1)"
25;3600148102;"Alzheimer's and Dementia";journal;"15525260, 15525279";2,180;Q1;84;85;228;3642;1206;166;7,52;42,85;Netherlands;"Elsevier BV";"Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Cellular and Molecular Neuroscience (Q2)"
26;18059;"Neuroscientist";journal;"10738584";2,146;Q1;107;55;222;4331;866;217;3,48;78,75;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
27;14344;"Brain Pathology";journal;"10156305";2,141;Q1;119;78;298;3320;1346;280;4,45;42,56;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
28;5700191214;"Molecular Neurodegeneration";journal;"17501326";2,107;Q1;60;88;146;5360;692;144;4,92;60,91;United Kingdom;"BioMed Central";"Molecular Biology (Q1); Neurology (clinical) (Q1); Cellular and Molecular Neuroscience (Q2)"
29;14352;"Brain Topography";journal;"08960267, 15736792";2,014;Q1;60;40;112;2091;470;107;4,13;52,28;United States;"Kluwer Academic/Plenum Publishers";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
30;15987;"Journal of Pain";journal;"15265900";2,011;Q1;102;158;451;7054;2509;414;5,92;44,65;United States;"Churchill Livingstone";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
31;15510;"Epilepsia";journal;"00139580, 15281167";1,994;Q1;168;439;1401;13745;5628;1238;4,29;31,31;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
32;19700174928;"ASN Neuro";journal;"17590914";1,857;Q1;31;23;45;1681;164;44;3,73;73,09;United Kingdom;"Portland Press, Ltd.";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
33;17408;"Multiple Sclerosis";journal;"13524585, 14770970";1,776;Q1;106;214;635;6053;2606;562;4,69;28,29;United States;"SAGE Publications";"Neurology (Q1); Neurology (clinical) (Q1)"
34;20028;"American Journal of Neuroradiology";journal;"01956108";1,753;Q1;158;495;1305;11463;4663;1076;3,73;23,16;United States;"American Society of Neuoradiology";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
35;14853;"Cerebellum";journal;"14734222, 14734230";1,747;Q1;57;75;201;4524;651;187;2,90;60,32;United States;"Springer New York";"Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
36;14900;"Clinical Neurophysiology";journal;"13882457";1,717;Q1;157;370;936;13955;3366;800;3,96;37,72;Netherlands;"Elsevier BV";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Sensory Systems (Q1)"
37;17700156408;"Nature Reviews Neurology";journal;"17594758, 17594766";1,717;Q1;113;191;542;6877;2088;479;4,60;36,01;United Kingdom;"Nature Publishing Group";"Neurology (clinical) (Q1); Cellular and Molecular Neuroscience (Q2)"
38;13068;"Spine";journal;"03622436";1,680;Q1;224;684;2181;20098;5921;1926;2,56;29,38;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
39;14314;"Otology and Neurotology";journal;"15317129";1,654;Q1;90;307;740;6245;1634;679;2,15;20,34;United States;"Lippincott Williams & Wilkins Ltd.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Otorhinolaryngology (Q1); Sensory Systems (Q1)"
40;14857;"Cerebrovascular Diseases";journal;"10159770, 14219786";1,645;Q1;92;176;650;4912;1996;612;2,99;27,91;Switzerland;"S. Karger AG";"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
41;15576;"European Neuropsychopharmacology";journal;"0924977";1,625;Q1;96;99;327;5365;1405;321;4,12;54,19;Netherlands;"Elsevier BV";"Biological Psychiatry (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
42;130034;"Current Alzheimer Research";journal;"15672050";1,608;Q1;74;97;224;7678;1080;211;4,72;79,15;United Arab Emirates;"Bentham Science Publishers";"Neurology (Q1); Neurology (clinical) (Q1)"
43;19400158590;"Journal of Neurodevelopmental Disorders";journal;"18661955, 18661947";1,604;Q1;32;35;52;3148;148;48;3,08;89,94;United Kingdom;"BioMed Central";"Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Pediatrics, Perinatology and Child Health (Q1); Cognitive Neuroscience (Q2)"
44;16767;"Journal of Neurosurgery";journal;"00223085";1,582;Q1;184;567;1428;13243;3883;1097;3,38;23,36;United States;"American Association of Neurological Surgeons";"Neurology (clinical) (Q1); Surgery (Q1)"
45;20106;"CNS Drugs";journal;"11727047";1,557;Q1;96;83;235;6129;1415;220;6,41;73,84;United Kingdom;"Adis International Ltd.";"Neurology (clinical) (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
46;15549;"European Journal of Neurology";journal;"13515101, 14681331";1,547;Q1;109;302;942;7291;3137;700;4,88;24,14;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
47;12235;"Journal of Neurotrauma";journal;"08977151";1,535;Q1;127;210;568;11123;2407;547;4,18;52,97;United States;"Mary Ann Liebert Inc.";"Neurology (clinical) (Q1)"
48;16751;"Journal of Neurology";journal;"03405354";1,527;Q1;118;415;1277;10396;3472;868;3,67;25,05;Germany;"Dr. Dietrich Steinkopff Verlag";"Neurology (Q1); Neurology (clinical) (Q1)"
49;13070;"Spine Journal";journal;"15299430";1,524;Q1;88;238;590;5692;1507;506;2,47;23,92;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Surgery (Q1)"
50;16188;"Journal of the International Neuropsychological Society";journal;"14697661, 13556177";1,523;Q1;111;126;351;6186;1214;334;3,16;49,10;United Kingdom;"Cambridge University Press";"Clinical Psychology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Neuroscience (miscellaneous) (Q2)"
51;17309;"Neuroradiology";journal;"14321920, 00283940";1,519;Q1;86;125;355;3145;1145;321;3,40;25,16;Germany;"Springer Verlag";"Cardiology and Cardiovascular Medicine (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
52;21100235630;"Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration";journal;"21678421, 21679223";1,495;Q1;60;118;308;2150;836;282;3,11;18,22;United Kingdom;"Informa Healthcare";"Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
53;20041;"Neurourology and Urodynamics";journal;"15206777, 07332467";1,410;Q1;79;235;440;5999;1209;369;3,18;25,53;United States;"John Wiley & Sons Inc.";"Neurology (clinical) (Q1); Urology (Q1)"
54;14346;"Brain Research";journal;"00068993";1,403;Q1;183;960;3426;49982;10705;3368;3,11;52,06;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Developmental Biology (Q2); Molecular Biology (Q2); Neuroscience (miscellaneous) (Q2)"
55;29549;"Journal of Geriatric Psychiatry and Neurology";journal;"08919887";1,389;Q1;62;30;92;1243;344;90;4,00;41,43;United States;"SAGE Publications";"Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
56;14987;"Developmental Medicine and Child Neurology";journal;"00121622, 14698749";1,361;Q1;125;302;779;5708;1831;496;3,43;18,90;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Developmental Neuroscience (Q2)"
57;17990;"Neuropathology and Applied Neurobiology";journal;"03051846, 13652990";1,361;Q1;82;67;192;4060;608;178;3,36;60,60;United Kingdom;"Blackwell Publishing Inc.";"Histology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Physiology (medical) (Q2)"
58;16790;"Journal of Pain and Symptom Management";journal;"08853924";1,347;Q1;124;222;635;6973;1826;503;3,27;31,41;Netherlands;"Elsevier BV";"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1); Nursing (miscellaneous) (Q1)"
59;14989;"Current Neurology and Neuroscience Reports";journal;"15284042, 15346293";1,338;Q1;59;78;209;3665;722;191;4,22;46,99;United States;"Current Science Inc.";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2)"
60;18069;"Neurosurgery";journal;"0148396";1,325;Q1;176;1304;5369;18029;5019;1722;2,48;13,83;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Surgery (Q1)"
61;19228;"Restorative Neurology and Neuroscience";journal;"09226028";1,316;Q1;67;42;152;2520;512;149;3,25;60,00;Netherlands;"IOS Press";"Neurology (clinical) (Q1); Developmental Neuroscience (Q2); Neurology (Q2)"
62;17494;"Neuroepidemiology";journal;"02515350, 14230208";1,314;Q1;74;84;290;2492;735;241;2,63;29,67;Switzerland;"S. Karger AG";"Neurology (clinical) (Q1); Epidemiology (Q2)"
63;14841;"Cephalalgia";journal;"14682982, 03331024";1,312;Q1;111;230;685;6621;1831;546;3,16;28,79;United States;"SAGE Publications";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
64;14990;"Current Neuropharmacology";journal;"1570159";1,309;Q1;53;94;104;7032;442;97;3,73;74,81;United Arab Emirates;"Bentham Science Publishers";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1); Neurology (Q2)"
65;12266;"Journal of Spinal Disorders and Techniques";journal;"15360652, 15392465";1,305;Q1;82;102;317;2440;692;308;1,99;23,92;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Surgery (Q1)"
