Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2009);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;16860;"The Lancet Neurology";journal;"14744422";6,249;Q1;240;243;726;8097;6053;409;17,81;33,32;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
2;14317;"Brain";journal;"14602156, 00068950";5,837;Q1;296;350;979;16905;9213;823;10,62;48,30;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
3;14179;"Annals of Neurology";journal;"03645134, 15318249";5,340;Q1;266;277;779;8100;5712;547;9,68;29,24;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
4;14351;"Brain Research Reviews";journal;"01650173";4,531;Q1;180;70;258;10119;2143;253;8,11;144,56;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
5;20618;"Stroke";journal;"15244628, 00392499";3,743;Q1;285;920;2102;22572;12086;1519;7,66;24,53;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
6;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,378;Q1;166;344;333;20214;2046;330;5,76;58,76;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
7;17952;"Neurology";journal;"00283878";3,112;Q1;322;1171;3792;19725;17784;2602;6,94;16,84;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
8;21100228519;"JAMA Neurology";journal;"21686149, 21686157";3,078;Q1;203;312;968;6403;4784;756;6,30;20,52;United States;"American Medical Association";"Neurology (clinical) (Q1)"
9;18148;"Pain";journal;"03043959";2,702;Q1;229;357;1050;13201;6048;825;6,82;36,98;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
10;17552;"Acta Neuropathologica";journal;"14320533, 00016322";2,686;Q1;136;148;435;8063;2261;375;7,00;54,48;Germany;"Springer Verlag";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
11;18059;"Neuroscientist";journal;"10738584";2,629;Q1;107;68;230;4260;1024;217;4,60;62,65;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
12;5700191214;"Molecular Neurodegeneration";journal;"17501326";2,532;Q1;60;55;72;3588;332;72;4,28;65,24;United Kingdom;"BioMed Central";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
13;23985;"Neurobiology of Aging";journal;"01974580";2,530;Q1;159;214;610;10189;3211;603;4,98;47,61;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
14;19830;"Sleep";journal;"01618105";2,530;Q1;175;202;609;7968;3391;507;6,33;39,45;United States;"Oxford University Press";"Neurology (clinical) (Q1); Physiology (medical) (Q1)"
15;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,457;Q1;149;123;365;6211;1849;341;5,00;50,50;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
16;33648;"Neurorehabilitation and Neural Repair";journal;"15459683";2,347;Q1;87;110;166;4481;977;151;6,42;40,74;United States;"Sage Science Press";"Neurology (Q1); Neurology (clinical) (Q1); Rehabilitation (Q1)"
17;17407;"Movement Disorders";journal;"15318257, 08853185";2,339;Q1;166;510;1551;13094;5821;1296;4,31;25,67;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
18;5100155080;"Neurotherapeutics";journal;"19337213";2,326;Q1;96;75;199;6608;1172;184;6,69;88,11;United States;"Springer New York LLC";"Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
19;14993;"Current Opinion in Neurology";journal;"13507540, 14736551";2,312;Q1;107;110;340;5000;1767;300;5,78;45,45;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (Q1); Neurology (clinical) (Q1)"
20;32816;"Neural Plasticity";journal;"07928483, 16875443";2,253;Q1;50;18;42;943;169;40;4,23;52,39;Egypt;"Hindawi Publishing Corporation";"Neurology (Q1); Neurology (clinical) (Q1)"
21;14344;"Brain Pathology";journal;"10156305";2,227;Q1;119;92;200;3713;891;177;5,39;40,36;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
22;19837;"Sleep Medicine Reviews";journal;"10870792";2,207;Q1;116;45;129;2989;825;96;7,58;66,42;United Kingdom;"Elsevier Ltd.";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
23;12499;"Neuro-Oncology";journal;"15228517";2,083;Q1;94;79;173;2908;819;153;4,78;36,81;United States;"Oxford University Press";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)"
24;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330, 00223050";2,068;Q1;182;350;1222;7806;4404;897;4,79;22,30;United Kingdom;"BMJ Publishing Group";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
25;15510;"Epilepsia";journal;"00139580, 15281167";1,954;Q1;168;478;1263;14030;4997;1075;4,39;29,35;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
26;20028;"American Journal of Neuroradiology";journal;"01956108";1,934;Q1;158;434;1388;10195;4879;1190;3,96;23,49;United States;"American Society of Neuoradiology";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
27;130034;"Current Alzheimer Research";journal;"15672050";1,864;Q1;74;74;215;4594;1014;202;5,37;62,08;United Arab Emirates;"Bentham Science Publishers";"Neurology (Q1); Neurology (clinical) (Q1)"
28;13068;"Spine";journal;"03622436";1,785;Q1;224;731;2176;19063;6962;1948;3,25;26,08;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
29;19228;"Restorative Neurology and Neuroscience";journal;"09226028";1,783;Q1;67;49;134;2927;503;130;4,04;59,73;Netherlands;"IOS Press";"Neurology (Q1); Neurology (clinical) (Q1); Developmental Neuroscience (Q2)"
30;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";1,771;Q1;170;204;898;7895;3079;874;2,91;38,70;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
