Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2001);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;14351;"Brain Research Reviews";journal;"01650173";4,431;Q1;180;86;209;10539;1865;204;8,84;122,55;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
2;14179;"Annals of Neurology";journal;"03645134, 15318249";4,040;Q1;266;298;940;7605;6653;746;8,73;25,52;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
3;14317;"Brain";journal;"14602156, 00068950";3,847;Q1;296;220;601;11541;4513;550;7,61;52,46;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
4;14959;"Critical Reviews in Neurobiology";journal;"08920915";3,475;Q1;57;2;37;379;281;37;5,26;189,50;United States;"Begell House";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1)"
5;20618;"Stroke";journal;"15244628, 00392499";3,022;Q1;285;580;1430;15139;7423;1193;5,64;26,10;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
6;16101;"Human Brain Mapping";journal;"10659471, 10970193";2,850;Q1;166;54;153;2627;924;152;5,35;48,65;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
7;14344;"Brain Pathology";journal;"10156305";2,642;Q1;119;53;224;2676;1330;218;7,37;50,49;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
8;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,578;Q1;149;118;360;5638;1965;349;5,52;47,78;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
9;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,537;Q1;170;152;470;7071;2683;461;5,49;46,52;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
10;17952;"Neurology";journal;"00283878";2,190;Q1;322;1147;3397;23348;14438;2693;5,13;20,36;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
11;18148;"Pain";journal;"03043959";2,080;Q1;229;226;754;8995;3653;683;5,18;39,80;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
12;21100228519;"JAMA Neurology";journal;"21686149, 21686157";1,874;Q1;203;301;743;6542;2827;621;4,15;21,73;United States;"American Medical Association";"Neurology (clinical) (Q1)"
13;18069;"Neurosurgery";journal;"0148396";1,655;Q1;176;422;1330;6208;3319;1078;2,77;14,71;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Surgery (Q1)"
14;16202;"International Review of Neurobiology";book series;"00747742";1,620;Q1;69;50;31;4962;92;31;2,08;99,24;United States;"Elsevier Inc.";"Neurology (clinical) (Q1); Cellular and Molecular Neuroscience (Q2)"
15;16767;"Journal of Neurosurgery";journal;"00223085";1,482;Q1;184;505;1515;11739;3671;1300;2,62;23,25;United States;"American Association of Neurological Surgeons";"Neurology (clinical) (Q1); Surgery (Q1)"
