Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;14179;"Annals of Neurology";journal;"03645134, 15318249";4,443;Q1;266;287;873;8134;6014;701;7,84;28,34;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
2;14351;"Brain Research Reviews";journal;"01650173";4,188;Q1;180;34;124;6980;846;122;6,60;205,29;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
3;14317;"Brain";journal;"14602156, 00068950";3,994;Q1;296;194;541;10314;3695;504;7,10;53,16;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
4;14959;"Critical Reviews in Neurobiology";journal;"08920915";3,389;Q1;57;13;45;3135;301;45;4,85;241,15;United States;"Begell House";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1)"
5;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";3,131;Q1;170;148;455;2940;2477;444;5,05;19,86;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
6;16101;"Human Brain Mapping";journal;"10659471, 10970193";2,887;Q1;166;50;105;1536;558;103;5,39;30,72;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
7;20618;"Stroke";journal;"15244628, 00392499";2,866;Q1;285;482;1337;13480;6041;1130;4,92;27,97;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
8;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,520;Q1;149;124;414;5871;2017;383;5,07;47,35;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
9;17952;"Neurology";journal;"00283878";2,196;Q1;322;1080;2979;22176;11231;2375;4,39;20,53;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
10;14344;"Brain Pathology";journal;"10156305";2,071;Q1;119;65;237;4813;972;227;3,38;74,05;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
11;16767;"Journal of Neurosurgery";journal;"00223085";1,860;Q1;184;495;1250;12277;3277;1038;2,77;24,80;United States;"American Association of Neurological Surgeons";"Neurology (clinical) (Q1); Surgery (Q1)"
12;16202;"International Review of Neurobiology";book series;"00747742";1,842;Q1;69;11;77;948;257;77;3,15;86,18;United States;"Elsevier Inc.";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
13;21100228519;"JAMA Neurology";journal;"21686149, 21686157";1,668;Q1;203;225;650;5696;1901;506;3,64;25,32;United States;"American Medical Association";"Neurology (clinical) (Q1)"
14;18069;"Neurosurgery";journal;"0148396";1,620;Q1;176;406;1302;10973;2972;1071;2,51;27,03;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Surgery (Q1)"
15;18148;"Pain";journal;"03043959";1,566;Q1;229;283;768;11500;2830;648;3,90;40,64;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
16;23985;"Neurobiology of Aging";journal;"01974580";1,466;Q1;159;96;344;3662;1016;323;2,86;38,15;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
17;16762;"Journal of Neuropsychiatry and Clinical Neurosciences";journal;"15457222, 08950172";1,433;Q1;97;83;221;2570;519;185;2,99;30,96;United States;"American Psychiatric Publishing, Inc.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
