Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2012);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;16860;"The Lancet Neurology";journal;"14744422";11,084;Q1;240;237;724;7403;8627;312;27,66;31,24;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
2;14317;"Brain";journal;"14602156, 00068950";5,796;Q1;296;362;1057;19163;10400;857;11,30;52,94;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
3;14179;"Annals of Neurology";journal;"03645134, 15318249";5,651;Q1;266;278;945;8476;7778;628;11,98;30,49;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
4;14351;"Brain Research Reviews";journal;"01650173";4,731;Q1;180;0;163;0;1776;158;9,33;0,00;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
5;17552;"Acta Neuropathologica";journal;"14320533, 00016322";4,727;Q1;136;147;435;8556;4046;374;11,02;58,20;Germany;"Springer Verlag";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
6;3600148102;"Alzheimer's and Dementia";journal;"15525260, 15525279";4,445;Q1;84;84;224;3409;2287;181;15,61;40,58;Netherlands;"Elsevier BV";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
7;20618;"Stroke";journal;"15244628, 00392499";3,912;Q1;285;737;2496;17153;14435;1928;7,06;23,27;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
8;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,802;Q1;166;227;693;14408;5163;682;6,65;63,47;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
9;19837;"Sleep Medicine Reviews";journal;"10870792";3,247;Q1;116;53;139;4040;1182;108;10,85;76,23;United Kingdom;"Elsevier Ltd.";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
10;21100228519;"JAMA Neurology";journal;"21686149, 21686157";3,246;Q1;203;291;953;5436;5365;704;7,18;18,68;United States;"American Medical Association";"Neurology (clinical) (Q1)"
11;17952;"Neurology";journal;"00283878";3,200;Q1;322;1143;3472;20970;16077;2161;7,21;18,35;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
12;33648;"Neurorehabilitation and Neural Repair";journal;"15459683";3,105;Q1;87;91;300;3861;1637;289;5,02;42,43;United States;"Sage Science Press";"Neurology (Q1); Neurology (clinical) (Q1); Rehabilitation (Q1)"
13;18148;"Pain";journal;"03043959";3,094;Q1;229;372;1195;15117;6080;887;6,48;40,64;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
14;12499;"Neuro-Oncology";journal;"15228517";2,753;Q1;94;176;372;7341;2379;336;6,98;41,71;United States;"Oxford University Press";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)"
15;23985;"Neurobiology of Aging";journal;"01974580";2,684;Q1;159;543;756;27154;4614;729;6,20;50,01;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
16;5100155080;"Neurotherapeutics";journal;"19337213";2,526;Q1;96;69;196;6439;1337;182;7,42;93,32;United States;"Springer New York LLC";"Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
17;19830;"Sleep";journal;"01618105";2,517;Q1;175;229;665;8449;3674;520;6,28;36,90;United States;"Oxford University Press";"Neurology (clinical) (Q1); Physiology (medical) (Q1)"
18;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,486;Q1;170;206;655;10384;3629;610;5,97;50,41;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
19;5700191214;"Molecular Neurodegeneration";journal;"17501326";2,485;Q1;60;62;204;3251;1102;202;4,75;52,44;United Kingdom;"BioMed Central";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
20;17700156408;"Nature Reviews Neurology";journal;"17594758, 17594766";2,474;Q1;113;192;586;7045;2772;486;6,89;36,69;United Kingdom;"Nature Publishing Group";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
21;17300154985;"Autism Research";journal;"19393806";2,335;Q1;49;42;124;2138;574;114;4,44;50,90;United States;"John Wiley & Sons Inc.";"Genetics (clinical) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
22;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,301;Q1;149;92;339;5384;1695;319;4,97;58,52;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
23;14993;"Current Opinion in Neurology";journal;"13507540, 14736551";2,257;Q1;107;115;324;6504;1806;298;6,08;56,56;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (Q1); Neurology (clinical) (Q1)"
24;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330, 00223050";2,217;Q1;182;291;1060;7599;4442;823;5,27;26,11;United Kingdom;"BMJ Publishing Group";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
25;15510;"Epilepsia";journal;"00139580, 15281167";2,205;Q1;168;393;1445;13918;6353;1303;4,76;35,41;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
26;17407;"Movement Disorders";journal;"15318257, 08853185";2,169;Q1;166;432;1672;11026;6490;1172;5,61;25,52;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
27;15987;"Journal of Pain";journal;"15265900";2,097;Q1;102;137;468;6541;2193;430;3,91;47,74;United States;"Churchill Livingstone";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
28;14344;"Brain Pathology";journal;"10156305";2,067;Q1;119;97;293;4220;1398;268;5,44;43,51;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
29;18059;"Neuroscientist";journal;"10738584";2,015;Q1;107;58;199;4130;877;198;4,22;71,21;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
30;14945;"Cortex";journal;"00109452";2,000;Q1;93;144;429;8491;1796;331;6,05;58,97;France;"Masson Publishing";"Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Neuropsychology and Physiological Psychology (Q1); Cognitive Neuroscience (Q2)"
31;12218;"Journal of Head Trauma Rehabilitation";journal;"08859701, 1550509";1,960;Q1;85;63;164;2672;765;144;5,04;42,41;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1)"
32;15576;"European Neuropsychopharmacology";journal;"0924977";1,955;Q1;96;110;306;5208;1422;297;4,84;47,35;Netherlands;"Elsevier BV";"Biological Psychiatry (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
33;20106;"CNS Drugs";journal;"11727047";1,921;Q1;96;84;245;6265;1548;227;6,42;74,58;United Kingdom;"Adis International Ltd.";"Neurology (clinical) (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
34;32816;"Neural Plasticity";journal;"07928483, 16875443";1,919;Q1;50;98;65;9252;203;62;3,24;94,41;Egypt;"Hindawi Publishing Corporation";"Neurology (Q1); Neurology (clinical) (Q1)"
35;14352;"Brain Topography";journal;"08960267, 15736792";1,890;Q1;60;41;121;1994;480;116;4,29;48,63;United States;"Kluwer Academic/Plenum Publishers";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
36;19400158590;"Journal of Neurodevelopmental Disorders";journal;"18661955, 18661947";1,790;Q1;32;27;87;2556;317;83;3,49;94,67;United Kingdom;"BioMed Central";"Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Pediatrics, Perinatology and Child Health (Q1); Cognitive Neuroscience (Q2)"
37;17408;"Multiple Sclerosis";journal;"13524585, 14770970";1,781;Q1;106;275;638;6954;2694;562;4,94;25,29;United States;"SAGE Publications";"Neurology (Q1); Neurology (clinical) (Q1)"
38;19700174928;"ASN Neuro";journal;"17590914";1,758;Q1;31;32;68;2479;239;67;3,57;77,47;United Kingdom;"Portland Press, Ltd.";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
39;20028;"American Journal of Neuroradiology";journal;"01956108";1,739;Q1;158;448;1356;11456;4635;1105;3,65;25,57;United States;"American Society of Neuoradiology";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
40;12235;"Journal of Neurotrauma";journal;"08977151";1,736;Q1;127;273;651;13838;3103;630;4,81;50,69;United States;"Mary Ann Liebert Inc.";"Neurology (clinical) (Q1)"
41;13068;"Spine";journal;"03622436";1,730;Q1;224;632;2174;16076;6280;1923;2,66;25,44;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
42;14857;"Cerebrovascular Diseases";journal;"10159770, 14219786";1,723;Q1;92;149;619;4029;1923;570;2,96;27,04;Switzerland;"S. Karger AG";"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
43;11700154204;"Brain Stimulation";journal;"1935861";1,720;Q1;55;89;120;3853;451;93;3,94;43,29;Netherlands;"Elsevier BV";"Biophysics (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2)"
44;16767;"Journal of Neurosurgery";journal;"00223085";1,709;Q1;184;543;1541;10578;4531;1118;3,87;19,48;United States;"American Association of Neurological Surgeons";"Neurology (clinical) (Q1); Surgery (Q1)"
45;17990;"Neuropathology and Applied Neurobiology";journal;"03051846, 13652990";1,670;Q1;82;70;188;3293;751;168;4,79;47,04;United Kingdom;"Blackwell Publishing Inc.";"Histology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Physiology (medical) (Q1)"
46;16790;"Journal of Pain and Symptom Management";journal;"08853924";1,570;Q1;124;230;687;6514;2178;558;3,54;28,32;Netherlands;"Elsevier BV";"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1); Nursing (miscellaneous) (Q1)"
47;15549;"European Journal of Neurology";journal;"13515101, 14681331";1,547;Q1;109;290;904;7832;3228;687;4,95;27,01;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
48;14900;"Clinical Neurophysiology";journal;"13882457";1,543;Q1;157;339;963;14607;3235;797;3,64;43,09;Netherlands;"Elsevier BV";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q2); Sensory Systems (Q2)"
49;14989;"Current Neurology and Neuroscience Reports";journal;"15284042, 15346293";1,519;Q1;59;89;219;6031;888;198;4,73;67,76;United States;"Current Science Inc.";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2)"
50;130034;"Current Alzheimer Research";journal;"15672050";1,509;Q1;74;123;256;9914;1136;241;4,20;80,60;United Arab Emirates;"Bentham Science Publishers";"Neurology (Q1); Neurology (clinical) (Q1)"
51;14346;"Brain Research";journal;"00068993";1,500;Q1;183;799;3173;43923;10920;3122;3,32;54,97;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Developmental Biology (Q2); Molecular Biology (Q2); Neuroscience (miscellaneous) (Q2)"
52;19228;"Restorative Neurology and Neuroscience";journal;"09226028";1,490;Q1;67;44;153;2185;621;151;3,53;49,66;Netherlands;"IOS Press";"Neurology (Q1); Neurology (clinical) (Q1); Developmental Neuroscience (Q2)"
53;14841;"Cephalalgia";journal;"14682982, 03331024";1,489;Q1;111;181;673;4950;1832;528;3,48;27,35;United States;"SAGE Publications";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
54;18572;"Parkinsonism and Related Disorders";journal;"13538020";1,472;Q1;79;329;633;7166;2207;513;4,36;21,78;Netherlands;"Elsevier BV";"Geriatrics and Gerontology (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
55;16188;"Journal of the International Neuropsychological Society";journal;"14697661, 13556177";1,469;Q1;111;116;365;5859;1269;348;3,14;50,51;United Kingdom;"Cambridge University Press";"Clinical Psychology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Neuroscience (miscellaneous) (Q2)"
56;16751;"Journal of Neurology";journal;"03405354";1,468;Q1;118;461;1208;11716;3471;849;3,82;25,41;Germany;"Dr. Dietrich Steinkopff Verlag";"Neurology (Q1); Neurology (clinical) (Q1)"
57;29549;"Journal of Geriatric Psychiatry and Neurology";journal;"08919887";1,461;Q1;62;35;92;1338;377;91;4,45;38,23;United States;"SAGE Publications";"Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
58;13070;"Spine Journal";journal;"15299430";1,459;Q1;88;225;675;4471;1728;528;3,02;19,87;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Surgery (Q1)"
59;17976;"Neuromuscular Disorders";journal;"09608966";1,418;Q1;85;172;448;4654;1101;342;3,34;27,06;Netherlands;"Elsevier BV";"Neurology (Q1); Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Genetics (clinical) (Q2)"
60;17309;"Neuroradiology";journal;"14321920, 00283940";1,416;Q1;86;171;354;4405;1104;319;3,17;25,76;Germany;"Springer Verlag";"Cardiology and Cardiovascular Medicine (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
61;14314;"Otology and Neurotology";journal;"15317129";1,403;Q1;90;332;807;7199;1702;751;2,18;21,68;United States;"Lippincott Williams & Wilkins Ltd.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Otorhinolaryngology (Q1); Sensory Systems (Q2)"
62;29954;"Journal of Neuro-Oncology";journal;"15737373, 0167594";1,370;Q1;102;341;954;11532;3578;892;3,76;33,82;Netherlands;"Kluwer Academic Publishers";"Neurology (clinical) (Q1); Oncology (Q1); Cancer Research (Q2); Neurology (Q2)"
63;25336;"Neurodegenerative Diseases";journal;"16602862, 16602854";1,363;Q1;49;101;156;3029;522;149;3,53;29,99;Switzerland;"S. Karger AG";"Neurology (clinical) (Q1); Neurology (Q2)"
64;130054;"Neurocritical Care";journal;"15416933, 15560961";1,327;Q1;59;161;489;4906;1556;429;3,64;30,47;United States;"Humana Press, Inc.";"Critical Care and Intensive Care Medicine (Q1); Neurology (clinical) (Q1)"
65;21100307455;"Journal of oral & facial pain and headache";journal;"23330376, 23330384";1,317;Q1;35;39;130;1455;297;105;2,79;37,31;United States;"Quintessence Publishing Company";"Anesthesiology and Pain Medicine (Q1); Dentistry (miscellaneous) (Q1); Neurology (clinical) (Q1)"
66;18069;"Neurosurgery";journal;"0148396";1,300;Q1;176;1035;4524;12134;4926;1652;2,69;11,72;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Surgery (Q1)"
67;14987;"Developmental Medicine and Child Neurology";journal;"00121622, 14698749";1,298;Q1;125;281;847;5265;1904;518;3,47;18,74;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Developmental Neuroscience (Q2)"
68;16749;"Journal of Neuroimmunology";journal;"01655728";1,277;Q1;127;167;701;7023;2368;661;3,57;42,05;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Immunology (Q2); Immunology and Allergy (Q2); Neurology (Q2)"
69;21100199819;"Epilepsy Currents";journal;"15357597, 15357511";1,275;Q1;16;75;55;1015;54;9;6,00;13,53;United States;"American Epilepsy Society";"Neurology (clinical) (Q1)"
70;15300154855;"Journal of Neural Transmission";journal;"03009564";1,274;Q1;96;175;554;9494;1892;521;3,47;54,25;Germany;"Springer Verlag";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2); Neurology (Q2)"
71;14880;"Clinical Journal of Pain";journal;"07498047";1,251;Q1;113;113;374;5007;1182;342;3,12;44,31;United States;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1)"
72;12266;"Journal of Spinal Disorders and Techniques";journal;"15360652, 15392465";1,243;Q1;82;114;310;2944;651;302;2,01;25,82;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Surgery (Q1)"
73;37369;"Journal of Neurosurgery: Spine";journal;"15475646, 15475654";1,238;Q1;78;240;763;5334;1552;593;2,44;22,23;United States;"American Association of Neurological Surgeons";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Surgery (Q1); Neurology (Q2)"
74;17500155152;"American Journal on Intellectual and Developmental Disabilities";journal;"19447515, 19447558";1,196;Q1;74;39;110;1964;321;99;3,11;50,36;United States;"American Association on Intellectual and Developmental Disabilities";"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Developmental and Educational Psychology (Q2); Neuropsychology and Physiological Psychology (Q2)"
75;17494;"Neuroepidemiology";journal;"02515350, 14230208";1,192;Q1;74;81;262;2258;620;220;2,84;27,88;Switzerland;"S. Karger AG";"Neurology (clinical) (Q1); Epidemiology (Q2)"
76;19884;"Spinal Cord";journal;"13624393, 14765624";1,175;Q1;93;197;567;4736;1236;482;2,24;24,04;United Kingdom;"Nature Publishing Group";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neurology (Q2)"
77;20041;"Neurourology and Urodynamics";journal;"15206777, 07332467";1,169;Q1;79;162;545;4327;1358;473;2,98;26,71;United States;"John Wiley & Sons Inc.";"Neurology (clinical) (Q1); Urology (Q1)"
78;21100235630;"Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration";journal;"21678421, 21679223";1,161;Q1;60;116;342;3199;917;318;2,39;27,58;United Kingdom;"Informa Healthcare";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neurology (Q2)"
79;21370;"Expert Review of Neurotherapeutics";journal;"14737175";1,157;Q1;63;149;504;10039;1728;433;3,46;67,38;United Kingdom;"Taylor & Francis";"Neurology (clinical) (Q1); Pharmacology (medical) (Q1); Neuroscience (miscellaneous) (Q2)"
80;14258;"BMC Neurology";journal;"14712377";1,150;Q1;59;165;351;5982;1202;347;3,21;36,25;United Kingdom;"BioMed Central";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
81;16834;"Journal of the Peripheral Nervous System";journal;"10859489, 15298027";1,142;Q1;60;73;155;2032;436;123;3,38;27,84;United Kingdom;"Blackwell Publishing Inc.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2)"
82;19700174935;"Alzheimer's Research and Therapy";journal;"17589193";1,135;Q1;43;51;70;2298;227;56;4,05;45,06;United Kingdom;"BioMed Central";"Neurology (clinical) (Q1); Cognitive Neuroscience (Q2); Neurology (Q2)"
83;16075;"Headache";journal;"15264610, 00178748";1,126;Q1;105;239;1012;5427;1582;522;3,18;22,71;United Kingdom;"Blackwell Publishing Inc.";"Neurology (clinical) (Q1); Neurology (Q2)"
84;145175;"Neurosurgical Focus";journal;"10920684";1,126;Q1;75;155;505;5832;1425;447;2,78;37,63;United States;"American Association of Neurological Surgeons";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Surgery (Q1)"
85;21100229200;"Frontiers in Evolutionary Neuroscience";journal;"1663070";1,116;Q1;16;17;18;1469;49;16;2,31;86,41;Switzerland;"Frontiers Media S.A.";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2)"
86;16820;"Journal of the Neurological Sciences";journal;"0022510";1,113;Q1;120;464;1298;14621;3646;1218;2,78;31,51;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neurology (Q2)"
87;15514;"Epilepsy Research";journal;"09201211";1,107;Q2;104;203;545;7167;1517;531;2,60;35,31;Netherlands;"Elsevier BV";"Neurology (Q2); Neurology (clinical) (Q2)"
88;14853;"Cerebellum";journal;"14734222, 14734230";1,086;Q2;57;117;200;5675;497;191;2,49;48,50;United States;"Springer New York";"Medicine (miscellaneous) (Q1); Neurology (Q2); Neurology (clinical) (Q2)"
89;3900148612;"Journal of Clinical Sleep Medicine";journal;"15509389, 15509397";1,085;Q2;73;118;341;3256;1216;284;3,20;27,59;United States;"The American Academy of Sleep Medicine";"Pulmonary and Respiratory Medicine (Q1); Neurology (Q2); Neurology (clinical) (Q2)"
90;10600153347;"Brain Imaging and Behavior";journal;"19317557, 19317565";1,062;Q2;34;49;90;3293;225;89;2,76;67,20;United States;"Springer New York LLC";"Psychiatry and Mental Health (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Behavioral Neuroscience (Q2); Neurology (Q2); Neurology (clinical) (Q2); Cellular and Molecular Neuroscience (Q3); Cognitive Neuroscience (Q3)"
91;16714;"Journal of Headache and Pain";journal;"11292377, 11292369";1,057;Q2;48;102;285;3081;656;240;3,05;30,21;Germany;"Springer Verlag";"Anesthesiology and Pain Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q2)"
92;15771;"Muscle and Nerve";journal;"10974598, 0148639";1,045;Q2;129;329;949;8613;2201;750;2,79;26,18;United States;"John Wiley & Sons Inc.";"Neurology (clinical) (Q2); Physiology (Q2); Physiology (medical) (Q2); Cellular and Molecular Neuroscience (Q3)"
93;13163;"Epilepsy and Behavior";journal;"15255050, 15255069";0,996;Q2;88;329;1119;9913;2586;998;2,32;30,13;United States;"Elsevier Inc.";"Neurology (Q2); Neurology (clinical) (Q2); Behavioral Neuroscience (Q3)"
94;19700177306;"International Journal of Alzheimer's Disease";journal;"20908024, 20900252";0,993;Q2;37;104;196;6551;591;183;3,21;62,99;Egypt;"Hindawi Publishing Corporation";"Aging (Q2); Neurology (Q2); Neurology (clinical) (Q2); Behavioral Neuroscience (Q3); Cellular and Molecular Neuroscience (Q3); Cognitive Neuroscience (Q3)"
95;16762;"Journal of Neuropsychiatry and Clinical Neurosciences";journal;"15457222, 08950172";0,992;Q2;97;198;447;3406;588;175;2,97;17,20;United States;"American Psychiatric Publishing, Inc.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q2); Psychiatry and Mental Health (Q2)"
96;16785;"Journal of NeuroVirology";journal;"13550284, 15382443";0,991;Q2;76;66;180;2540;489;172;2,94;38,48;United Kingdom;"Taylor and Francis Ltd";"Neurology (Q2); Neurology (clinical) (Q2); Virology (Q2); Cellular and Molecular Neuroscience (Q3)"
97;11200153402;"Journal of Neurosurgery: Pediatrics";journal;"19330715, 19330707";0,989;Q2;48;255;719;5358;1232;580;1,94;21,01;United States;"American Association of Neurological Surgeons";"Medicine (miscellaneous) (Q1); Pediatrics, Perinatology and Child Health (Q1); Surgery (Q1); Neurology (clinical) (Q2)"
98;4000148206;"Journal of Neurologic Physical Therapy";journal;"15570584, 15570576";0,988;Q2;40;30;96;978;202;74;2,17;32,60;United States;"Lippincott Williams & Wilkins Ltd.";"Geriatrics and Gerontology (Q1); Medicine (miscellaneous) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Neurology (clinical) (Q2)"
99;18712;"Psychiatry and Clinical Neurosciences";journal;"14401819, 13231316";0,983;Q2;62;121;391;2830;813;286;2,45;23,39;United Kingdom;"Blackwell Publishing Inc.";"Medicine (miscellaneous) (Q1); Neurology (Q2); Neurology (clinical) (Q2); Neuroscience (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)"
100;16102;"Human Psychopharmacology";journal;"08856222, 10991077";0,977;Q2;68;82;242;3352;698;227;2,61;40,88;United States;"John Wiley & Sons Inc.";"Pharmacology (medical) (Q1); Neurology (Q2); Neurology (clinical) (Q2); Psychiatry and Mental Health (Q2)"
101;19015;"Metabolic Brain Disease";journal;"08857490, 15737365";0,945;Q2;57;71;157;3495;523;149;2,74;49,23;United States;"Kluwer Academic/Plenum Publishers";"Biochemistry (Q2); Neurology (clinical) (Q2); Cellular and Molecular Neuroscience (Q4)"
102;12736;"Journal of Clinical and Experimental Neuropsychology";journal;"1744411, 13803395";0,942;Q2;94;98;310;5229;734;308;2,15;53,36;United Kingdom;"Taylor & Francis";"Clinical Psychology (Q1); Neurology (Q2); Neurology (clinical) (Q2)"
