Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2007);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;14317;"Brain";journal;"14602156, 00068950";4,866;Q1;296;330;893;15584;7780;770;9,80;47,22;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
2;14179;"Annals of Neurology";journal;"03645134, 15318249";4,858;Q1;266;208;940;6053;7365;714;9,89;29,10;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
3;14351;"Brain Research Reviews";journal;"01650173";3,693;Q1;180;108;232;14505;1887;229;7,85;134,31;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
4;20618;"Stroke";journal;"15244628, 00392499";3,630;Q1;285;725;1968;16911;11082;1570;6,90;23,33;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
5;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,320;Q1;166;122;266;6868;1634;261;6,39;56,30;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
6;21100228519;"JAMA Neurology";journal;"21686149, 21686157";2,704;Q1;203;323;977;6008;4814;786;5,93;18,60;United States;"American Medical Association";"Neurology (clinical) (Q1)"
7;18148;"Pain";journal;"03043959";2,597;Q1;229;319;1020;11657;5758;848;6,41;36,54;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
8;16860;"The Lancet Neurology";journal;"14744422";2,572;Q1;240;235;675;7798;3396;570;5,78;33,18;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
9;5100155080;"Neurotherapeutics";journal;"19337213";2,567;Q1;96;81;162;5548;1064;147;6,58;68,49;United States;"Springer New York LLC";"Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
10;17952;"Neurology";journal;"00283878";2,550;Q1;322;1251;4124;21770;18904;3240;5,59;17,40;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
11;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,549;Q1;149;121;365;5426;1863;351;5,32;44,84;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
12;18059;"Neuroscientist";journal;"10738584";2,546;Q1;107;73;267;4395;1024;216;4,16;60,21;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
13;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,384;Q1;170;556;463;8812;2519;443;5,56;15,85;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
14;23985;"Neurobiology of Aging";journal;"01974580";2,360;Q1;159;204;552;10631;2976;521;5,40;52,11;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
15;14993;"Current Opinion in Neurology";journal;"13507540, 14736551";2,206;Q1;107;117;317;5032;1572;277;5,79;43,01;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (Q1); Neurology (clinical) (Q1)"
16;14344;"Brain Pathology";journal;"10156305";2,059;Q1;119;70;170;3357;723;156;3,54;47,96;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
17;19830;"Sleep";journal;"01618105";2,011;Q1;175;201;651;7324;2761;488;5,17;36,44;United States;"Oxford University Press";"Neurology (clinical) (Q1); Physiology (medical) (Q1)"
18;19837;"Sleep Medicine Reviews";journal;"10870792";2,001;Q1;116;48;120;3310;706;90;8,48;68,96;United Kingdom;"Elsevier Ltd.";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
19;12499;"Neuro-Oncology";journal;"15228517";1,976;Q1;94;51;105;1533;458;99;5,20;30,06;United States;"Oxford University Press";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)"
20;5700191214;"Molecular Neurodegeneration";journal;"17501326";1,870;Q1;60;23;19;1253;66;19;3,47;54,48;United Kingdom;"BioMed Central";"Neurology (clinical) (Q1); Cellular and Molecular Neuroscience (Q2); Molecular Biology (Q2)"
21;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330, 00223050";1,757;Q1;182;413;1397;8233;4779;1046;4,38;19,93;United Kingdom;"BMJ Publishing Group";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
22;17552;"Acta Neuropathologica";journal;"14320533, 00016322";1,633;Q1;136;136;462;6980;1512;414;3,74;51,32;Germany;"Springer Verlag";"Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Cellular and Molecular Neuroscience (Q2)"
23;15510;"Epilepsia";journal;"00139580, 15281167";1,631;Q1;168;453;1138;14290;3928;1018;3,67;31,55;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
24;15576;"European Neuropsychopharmacology";journal;"0924977";1,623;Q1;96;105;263;5078;1113;256;4,48;48,36;Netherlands;"Elsevier BV";"Biological Psychiatry (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
25;17407;"Movement Disorders";journal;"15318257, 08853185";1,620;Q1;166;560;1253;13960;4040;1028;3,70;24,93;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
26;12235;"Journal of Neurotrauma";journal;"08977151";1,616;Q1;127;202;412;7263;1678;402;4,00;35,96;United States;"Mary Ann Liebert Inc.";"Neurology (clinical) (Q1)"
27;15987;"Journal of Pain";journal;"15265900";1,590;Q1;102;127;305;4988;1212;279;4,16;39,28;United States;"Churchill Livingstone";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
28;17494;"Neuroepidemiology";journal;"02515350, 14230208";1,559;Q1;74;56;172;1847;474;165;2,64;32,98;Switzerland;"S. Karger AG";"Epidemiology (Q1); Neurology (clinical) (Q1)"
29;13068;"Spine";journal;"03622436";1,534;Q1;224;710;2056;19326;6304;1804;3,08;27,22;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
30;20028;"American Journal of Neuroradiology";journal;"01956108";1,532;Q1;158;451;1406;9727;3748;1192;2,98;21,57;United States;"American Society of Neuoradiology";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
31;20106;"CNS Drugs";journal;"11727047";1,470;Q1;96;85;276;6721;1280;245;5,35;79,07;United Kingdom;"Adis International Ltd.";"Neurology (clinical) (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
32;17500155152;"American Journal on Intellectual and Developmental Disabilities";journal;"19447515, 19447558";1,429;Q1;74;40;130;1628;347;119;2,35;40,70;United States;"American Association on Intellectual and Developmental Disabilities";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuropsychology and Physiological Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
33;130034;"Current Alzheimer Research";journal;"15672050";1,415;Q1;74;82;166;4426;614;156;4,10;53,98;United Arab Emirates;"Bentham Science Publishers";"Neurology (Q1); Neurology (clinical) (Q1)"
34;13070;"Spine Journal";journal;"15299430";1,411;Q1;88;140;434;3141;1059;337;2,34;22,44;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Surgery (Q1)"
35;17408;"Multiple Sclerosis";journal;"13524585, 14770970";1,394;Q1;106;186;397;5186;1282;362;3,22;27,88;United States;"SAGE Publications";"Neurology (Q1); Neurology (clinical) (Q1)"
36;14900;"Clinical Neurophysiology";journal;"13882457";1,392;Q1;157;312;947;13382;3032;878;2,99;42,89;Netherlands;"Elsevier BV";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Sensory Systems (Q1)"
37;16749;"Journal of Neuroimmunology";journal;"01655728";1,366;Q1;127;277;828;12075;2717;803;3,24;43,59;Netherlands;"Elsevier BV";"Immunology and Allergy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Immunology (Q2)"
38;14945;"Cortex";journal;"00109452";1,342;Q1;93;114;347;5548;725;285;2,45;48,67;France;"Masson Publishing";"Developmental and Educational Psychology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2); Neuropsychology and Physiological Psychology (Q2)"
39;16188;"Journal of the International Neuropsychological Society";journal;"14697661, 13556177";1,341;Q1;111;120;304;5015;945;286;2,67;41,79;United Kingdom;"Cambridge University Press";"Clinical Psychology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Neuroscience (miscellaneous) (Q2)"
40;20041;"Neurourology and Urodynamics";journal;"15206777, 07332467";1,327;Q1;79;170;292;4099;739;242;2,86;24,11;United States;"John Wiley & Sons Inc.";"Neurology (clinical) (Q1); Urology (Q1)"
41;14314;"Otology and Neurotology";journal;"15317129";1,318;Q1;90;229;642;4159;1089;581;1,63;18,16;United States;"Lippincott Williams & Wilkins Ltd.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Otorhinolaryngology (Q1); Sensory Systems (Q1)"
42;14987;"Developmental Medicine and Child Neurology";journal;"00121622, 14698749";1,316;Q1;125;256;561;4717;1391;426;3,17;18,43;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Developmental Neuroscience (Q2)"
43;18069;"Neurosurgery";journal;"0148396";1,312;Q1;176;1629;2780;17465;3997;1410;2,51;10,72;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Surgery (Q1)"
44;16790;"Journal of Pain and Symptom Management";journal;"08853924";1,284;Q1;124;202;488;5243;1437;369;3,18;25,96;Netherlands;"Elsevier BV";"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1); Nursing (miscellaneous) (Q1)"
45;17976;"Neuromuscular Disorders";journal;"09608966";1,280;Q1;85;122;336;3034;903;311;2,79;24,87;Netherlands;"Elsevier BV";"Neurology (Q1); Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Genetics (clinical) (Q2)"
46;17990;"Neuropathology and Applied Neurobiology";journal;"03051846, 13652990";1,270;Q1;82;62;207;2936;587;195;2,78;47,35;United Kingdom;"Blackwell Publishing Inc.";"Histology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Physiology (medical) (Q1)"
47;14959;"Critical Reviews in Neurobiology";journal;"08920915";1,254;Q1;57;5;53;491;137;51;0,54;98,20;United States;"Begell House";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2); Physiology (Q2); Physiology (medical) (Q2)"
48;29549;"Journal of Geriatric Psychiatry and Neurology";journal;"08919887";1,246;Q1;62;30;105;1705;353;102;3,00;56,83;United States;"SAGE Publications";"Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
49;16762;"Journal of Neuropsychiatry and Clinical Neurosciences";journal;"15457222, 08950172";1,245;Q1;97;112;255;2271;641;190;2,76;20,28;United States;"American Psychiatric Publishing, Inc.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
50;16767;"Journal of Neurosurgery";journal;"00223085";1,239;Q1;184;672;1784;14312;3892;1512;2,29;21,30;United States;"American Association of Neurological Surgeons";"Neurology (clinical) (Q1); Surgery (Q1)"
51;14853;"Cerebellum";journal;"14734222, 14734230";1,231;Q1;57;46;110;2464;238;101;2,51;53,57;United States;"Springer New York";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neurology (Q2)"
52;15300154855;"Journal of Neural Transmission";journal;"03009564";1,227;Q1;96;216;449;9053;1465;442;2,94;41,91;Germany;"Springer Verlag";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2); Neurology (Q2)"
