Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2003);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;14351;"Brain Research Reviews";journal;"01650173";4,449;Q1;180;49;233;8932;2087;226;7,68;182,29;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
2;14317;"Brain";journal;"14602156, 00068950";4,229;Q1;296;252;674;12321;5804;620;8,76;48,89;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
3;14179;"Annals of Neurology";journal;"03645134, 15318249";4,060;Q1;266;326;927;10010;6430;712;8,67;30,71;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
4;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,540;Q1;166;73;188;3481;1277;182;6,36;47,68;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
5;20618;"Stroke";journal;"15244628, 00392499";2,852;Q1;285;708;1662;16737;8426;1297;5,90;23,64;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
6;17952;"Neurology";journal;"00283878";2,566;Q1;322;1209;3509;22099;17391;2813;5,81;18,28;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
7;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,519;Q1;170;156;489;7633;2800;484;5,67;48,93;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
8;14959;"Critical Reviews in Neurobiology";journal;"08920915";2,461;Q1;57;7;12;1451;64;12;0,00;207,29;United States;"Begell House";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1)"
9;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,286;Q1;149;112;338;5682;1653;327;5,09;50,73;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
10;23985;"Neurobiology of Aging";journal;"01974580";2,265;Q1;159;137;370;6833;1672;305;4,87;49,88;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
11;18148;"Pain";journal;"03043959";2,195;Q1;229;309;743;12295;3839;674;5,13;39,79;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
12;21100228519;"JAMA Neurology";journal;"21686149, 21686157";2,179;Q1;203;290;870;6544;3712;694;5,45;22,57;United States;"American Medical Association";"Neurology (clinical) (Q1)"
13;14344;"Brain Pathology";journal;"10156305";1,748;Q1;119;73;172;3114;709;167;3,66;42,66;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
14;20028;"American Journal of Neuroradiology";journal;"01956108";1,576;Q1;158;425;1122;7549;3113;944;2,98;17,76;United States;"American Society of Neuoradiology";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
15;145679;"European Journal of Neurology, Supplement";journal;"14710552";1,573;Q1;15;0;8;0;24;8;3,00;0,00;United Kingdom;"Rapid Science Publishers";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
16;20041;"Neurourology and Urodynamics";journal;"15206777, 07332467";1,571;Q1;79;92;159;2009;409;137;3,05;21,84;United States;"John Wiley & Sons Inc.";"Neurology (clinical) (Q1); Urology (Q1)"
17;15510;"Epilepsia";journal;"00139580, 15281167";1,473;Q1;168;342;1084;9098;3650;1017;3,32;26,60;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
18;14993;"Current Opinion in Neurology";journal;"13507540, 14736551";1,389;Q1;107;113;324;5287;1148;304;3,94;46,79;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (Q1); Neurology (clinical) (Q1)"
19;17990;"Neuropathology and Applied Neurobiology";journal;"03051846, 13652990";1,363;Q1;82;61;167;2475;490;143;3,01;40,57;United Kingdom;"Blackwell Publishing Inc.";"Histology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Physiology (medical) (Q1)"
20;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330, 00223050";1,360;Q1;182;504;1392;9705;3638;958;3,45;19,26;United Kingdom;"BMJ Publishing Group";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
21;16749;"Journal of Neuroimmunology";journal;"01655728";1,357;Q1;127;256;816;10264;2701;802;3,15;40,09;Netherlands;"Elsevier BV";"Immunology (Q1); Immunology and Allergy (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
22;12235;"Journal of Neurotrauma";journal;"08977151";1,347;Q1;127;112;353;5652;1231;347;2,81;50,46;United States;"Mary Ann Liebert Inc.";"Neurology (clinical) (Q1)"
23;17407;"Movement Disorders";journal;"15318257, 08853185";1,343;Q1;166;302;816;9279;2316;716;3,06;30,73;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
24;18069;"Neurosurgery";journal;"0148396";1,339;Q1;176;403;1359;5120;3313;1142;2,45;12,70;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Surgery (Q1)"
25;14900;"Clinical Neurophysiology";journal;"13882457";1,307;Q1;157;272;823;11461;2467;797;3,02;42,14;Netherlands;"Elsevier BV";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Sensory Systems (Q2)"
26;16760;"Journal of Neurology, Supplement";journal;"09391517";1,287;Q1;52;23;88;738;334;84;3,63;32,09;Germany;"Springer Verlag";"Neurology (Q1); Neurology (clinical) (Q1)"
27;14346;"Brain Research";journal;"00068993";1,287;Q1;183;1118;3559;44731;9746;3534;2,56;40,01;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Developmental Biology (Q2); Molecular Biology (Q2); Neuroscience (miscellaneous) (Q2)"
28;17552;"Acta Neuropathologica";journal;"14320533, 00016322";1,266;Q1;136;162;547;5828;1437;533;2,72;35,98;Germany;"Springer Verlag";"Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Cellular and Molecular Neuroscience (Q3)"
29;12499;"Neuro-Oncology";journal;"15228517";1,243;Q1;94;27;90;720;249;83;2,89;26,67;United States;"Oxford University Press";"Neurology (clinical) (Q1); Oncology (Q1); Cancer Research (Q2)"
30;16767;"Journal of Neurosurgery";journal;"00223085";1,237;Q1;184;540;1730;12732;4114;1484;2,42;23,58;United States;"American Association of Neurological Surgeons";"Neurology (clinical) (Q1); Surgery (Q1)"
31;13068;"Spine";journal;"03622436";1,220;Q1;224;652;1852;13560;5156;1630;2,60;20,80;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
32;14314;"Otology and Neurotology";journal;"15317129";1,166;Q1;90;184;536;3756;729;479;1,38;20,41;United States;"Lippincott Williams & Wilkins Ltd.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Otorhinolaryngology (Q1); Sensory Systems (Q2)"
33;14841;"Cephalalgia";journal;"14682982, 03331024";1,160;Q1;111;149;402;3392;1071;324;2,84;22,77;United States;"SAGE Publications";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
34;17976;"Neuromuscular Disorders";journal;"09608966";1,160;Q1;85;96;357;2780;827;345;2,40;28,96;Netherlands;"Elsevier BV";"Neurology (Q1); Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Genetics (clinical) (Q2)"
35;19830;"Sleep";journal;"01618105";1,113;Q1;175;159;345;4318;1042;324;3,01;27,16;United States;"Oxford University Press";"Neurology (clinical) (Q1); Physiology (medical) (Q2)"
36;17500155152;"American Journal on Intellectual and Developmental Disabilities";journal;"19447515, 19447558";1,096;Q1;74;37;128;1433;211;119;1,73;38,73;United States;"American Association on Intellectual and Developmental Disabilities";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Neuropsychology and Physiological Psychology (Q2)"
37;16762;"Journal of Neuropsychiatry and Clinical Neurosciences";journal;"15457222, 08950172";1,095;Q1;97;75;240;2086;468;169;2,33;27,81;United States;"American Psychiatric Publishing, Inc.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
38;17468;"Neurocase";journal;"13554794, 14653656";1,092;Q1;58;45;126;2364;239;124;2,01;52,53;United Kingdom;"Taylor & Francis";"Arts and Humanities (miscellaneous) (Q1); Neurology (clinical) (Q1)"
39;14287;"Behavioural Neurology";journal;"09534180";1,080;Q1;39;13;35;694;56;33;0,42;53,38;Netherlands;"Hindawi Publishing Corporation";"Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Neuropsychology and Physiological Psychology (Q2)"
40;20106;"CNS Drugs";journal;"11727047";1,079;Q1;96;86;227;6276;735;209;4,54;72,98;United Kingdom;"Adis International Ltd.";"Neurology (clinical) (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
41;15771;"Muscle and Nerve";journal;"10974598, 0148639";1,077;Q1;129;223;775;7085;1984;694;2,70;31,77;United States;"John Wiley & Sons Inc.";"Neurology (clinical) (Q1); Physiology (Q2); Physiology (medical) (Q2); Cellular and Molecular Neuroscience (Q3)"
42;16790;"Journal of Pain and Symptom Management";journal;"08853924";1,026;Q1;124;189;486;4839;1226;367;2,77;25,60;Netherlands;"Elsevier BV";"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1); Nursing (miscellaneous) (Q1)"
43;17408;"Multiple Sclerosis";journal;"13524585, 14770970";1,025;Q1;106;107;243;2860;643;233;2,65;26,73;United States;"SAGE Publications";"Neurology (clinical) (Q1); Neurology (Q2)"
44;16188;"Journal of the International Neuropsychological Society";journal;"14697661, 13556177";1,017;Q1;111;79;214;3954;484;202;2,32;50,05;United Kingdom;"Cambridge University Press";"Clinical Psychology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Neuroscience (miscellaneous) (Q2)"
45;16075;"Headache";journal;"15264610, 00178748";1,013;Q1;105;198;535;3357;1311;413;2,90;16,95;United Kingdom;"Blackwell Publishing Inc.";"Neurology (clinical) (Q1); Neurology (Q2)"
46;15300154855;"Journal of Neural Transmission";journal;"03009564";0,995;Q1;96;113;395;4531;1070;384;2,58;40,10;Germany;"Springer Verlag";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Neurology (Q2); Biological Psychiatry (Q3)"
47;16751;"Journal of Neurology";journal;"03405354";0,984;Q1;118;310;856;6725;1508;511;2,87;21,69;Germany;"Dr. Dietrich Steinkopff Verlag";"Neurology (clinical) (Q1); Neurology (Q2)"
48;16675;"Journal of Clinical Neurophysiology";journal;"07360258";0,961;Q1;91;58;189;2032;501;172;2,71;35,03;United States;"Lippincott Williams & Wilkins Ltd.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neurology (Q2); Physiology (Q2); Physiology (medical) (Q2)"
49;16737;"Journal of Neural Transmission, Supplement";journal;"03036995";0,959;Q1;63;52;155;2772;424;152;2,13;53,31;Germany;"Springer Verlag";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Neurology (Q2); Biological Psychiatry (Q3)"
50;15514;"Epilepsy Research";journal;"09201211";0,958;Q1;104;120;377;4271;1016;369;2,43;35,59;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neurology (Q2)"
51;14880;"Clinical Journal of Pain";journal;"07498047";0,954;Q1;113;52;238;1912;784;207;3,17;36,77;United States;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1)"
52;16820;"Journal of the Neurological Sciences";journal;"0022510";0,948;Q1;120;220;680;6100;1639;644;2,47;27,73;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neurology (Q2)"
53;14987;"Developmental Medicine and Child Neurology";journal;"00121622, 14698749";0,940;Q1;125;166;500;4122;1007;394;2,14;24,83;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Pediatrics, Perinatology and Child Health (Q1); Developmental Neuroscience (Q2)"
54;17494;"Neuroepidemiology";journal;"02515350, 14230208";0,929;Q1;74;58;132;1721;261;119;1,93;29,67;Switzerland;"S. Karger AG";"Neurology (clinical) (Q1); Epidemiology (Q2)"
55;14352;"Brain Topography";journal;"08960267, 15736792";0,927;Q1;60;22;72;766;148;71;2,00;34,82;United States;"Kluwer Academic/Plenum Publishers";"Anatomy (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Neurology (Q2)"
56;15576;"European Neuropsychopharmacology";journal;"0924977";0,926;Q1;96;86;221;3080;552;217;2,49;35,81;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1); Neurology (Q2); Biological Psychiatry (Q3)"
57;14897;"Journal of Electromyography and Kinesiology";journal;"10506411";0,905;Q1;85;55;145;2253;249;142;1,39;40,96;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Biophysics (Q2); Neuroscience (miscellaneous) (Q2); Sports Science (Q2)"
58;18059;"Neuroscientist";journal;"10738584";0,895;Q1;107;96;341;3457;408;252;2,07;36,01;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2)"
59;16726;"Journal of Intellectual Disability Research";journal;"13652788, 09642633";0,834;Q1;89;74;175;2029;285;168;1,64;27,42;United Kingdom;"Blackwell Publishing Inc.";"Arts and Humanities (miscellaneous) (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Rehabilitation (Q1); Neurology (Q2)"
60;14945;"Cortex";journal;"00109452";0,824;Q1;93;83;202;3899;266;161;1,49;46,98;France;"Masson Publishing";"Neurology (clinical) (Q1); Developmental and Educational Psychology (Q2); Experimental and Cognitive Psychology (Q2); Neurology (Q2); Neuropsychology and Physiological Psychology (Q2); Cognitive Neuroscience (Q3)"
61;16834;"Journal of the Peripheral Nervous System";journal;"10859489, 15298027";0,821;Q1;60;32;78;996;157;74;2,42;31,13;United Kingdom;"Blackwell Publishing Inc.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2)"
62;15987;"Journal of Pain";journal;"15265900";0,818;Q1;102;67;160;2800;230;124;1,87;41,79;United States;"Churchill Livingstone";"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1); Neurology (Q2)"
63;12266;"Journal of Spinal Disorders and Techniques";journal;"15360652, 15392465";0,795;Q2;82;86;303;1918;337;272;0,97;22,30;United States;"Lippincott Williams & Wilkins Ltd.";"Orthopedics and Sports Medicine (Q1); Surgery (Q1); Neurology (clinical) (Q2)"
64;16785;"Journal of NeuroVirology";journal;"13550284, 15382443";0,782;Q2;76;87;278;4160;630;266;2,26;47,82;United Kingdom;"Taylor and Francis Ltd";"Neurology (Q2); Neurology (clinical) (Q2); Virology (Q2); Cellular and Molecular Neuroscience (Q4)"
65;20602;"Clinical Neuropharmacology";journal;"03625664";0,755;Q2;72;67;186;1726;450;175;2,44;25,76;United States;"Lippincott Williams & Wilkins Ltd.";"Pharmacology (medical) (Q1); Neurology (clinical) (Q2); Pharmacology (Q2)"
66;15549;"European Journal of Neurology";journal;"13515101, 14681331";0,755;Q2;109;141;436;3154;830;345;2,65;22,37;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q2); Neurology (clinical) (Q2)"
67;14857;"Cerebrovascular Diseases";journal;"10159770, 14219786";0,753;Q2;92;180;393;4110;786;350;2,09;22,83;Switzerland;"S. Karger AG";"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (Q2); Neurology (clinical) (Q2)"
68;14255;"Autonomic Neuroscience: Basic and Clinical";journal;"15660702";0,746;Q2;73;90;482;3378;878;472;1,37;37,53;Netherlands;"Elsevier BV";"Endocrine and Autonomic Systems (Q2); Neurology (clinical) (Q2); Cellular and Molecular Neuroscience (Q4)"
