Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;16860;"The Lancet Neurology";journal;"14744422";11,964;Q1;240;262;877;5818;8164;303;25,12;22,21;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
2;17552;"Acta Neuropathologica";journal;"14320533, 00016322";7,589;Q1;136;139;422;9139;4971;331;16,44;65,75;Germany;"Springer Verlag";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
3;14317;"Brain";journal;"14602156, 00068950";5,858;Q1;296;350;1143;13431;8440;770;10,22;38,37;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
4;14179;"Annals of Neurology";journal;"03645134, 15318249";5,706;Q1;266;241;729;7563;5507;530;10,20;31,38;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
5;17700156408;"Nature Reviews Neurology";journal;"17594758, 17594766";5,507;Q1;113;152;525;7244;3664;309;10,54;47,66;United Kingdom;"Nature Publishing Group";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
6;21100228519;"JAMA Neurology";journal;"21686149, 21686157";4,925;Q1;203;316;1018;6259;5191;512;10,35;19,81;United States;"American Medical Association";"Neurology (clinical) (Q1)"
7;3600148102;"Alzheimer's and Dementia";journal;"15525260, 15525279";4,660;Q1;84;149;438;7159;4240;416;10,87;48,05;Netherlands;"Elsevier BV";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
8;12499;"Neuro-Oncology";journal;"15228517";4,064;Q1;94;227;652;7243;4394;521;8,38;31,91;United States;"Oxford University Press";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)"
9;20618;"Stroke";journal;"15244628, 00392499";3,529;Q1;285;722;2140;13714;10782;1731;5,88;18,99;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
10;5700191214;"Molecular Neurodegeneration";journal;"17501326";3,418;Q1;60;89;206;7239;1366;195;6,36;81,34;United Kingdom;"BioMed Central";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
11;17952;"Neurology";journal;"00283878";3,399;Q1;322;1134;3649;18779;13557;1945;6,53;16,56;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
12;19837;"Sleep Medicine Reviews";journal;"10870792";3,376;Q1;116;73;189;5160;1499;157;9,83;70,68;United Kingdom;"Elsevier Ltd.";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
13;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330, 00223050";3,186;Q1;182;206;809;6106;4010;600;6,87;29,64;United Kingdom;"BMJ Publishing Group";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
14;17407;"Movement Disorders";journal;"15318257, 08853185";3,184;Q1;166;327;1044;11166;5420;782;7,15;34,15;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
15;18059;"Neuroscientist";journal;"10738584";3,065;Q1;107;53;177;4364;966;168;5,25;82,34;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
16;11700154204;"Brain Stimulation";journal;"1935861";2,753;Q1;55;186;490;5927;2174;343;6,28;31,87;Netherlands;"Elsevier BV";"Biophysics (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
17;21100367530;"Acta neuropathologica communications";journal;"20515960";2,683;Q1;29;52;439;269;2102;428;5,33;5,17;United Kingdom;"BioMed Central";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
18;18148;"Pain";journal;"03043959";2,671;Q1;229;311;1104;14713;4986;854;5,47;47,31;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
19;16101;"Human Brain Mapping";journal;"10659471, 10970193";2,664;Q1;166;426;1161;27815;6011;1158;4,88;65,29;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
20;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,558;Q1;170;329;727;14371;3658;697;5,20;43,68;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
