Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;14351;"Brain Research Reviews";journal;"01650173";4,107;Q1;180;47;220;4854;1848;214;7,01;103,28;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
2;14179;"Annals of Neurology";journal;"03645134, 15318249";4,050;Q1;266;296;918;7935;6599;708;8,98;26,81;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
3;14317;"Brain";journal;"14602156, 00068950";3,551;Q1;296;240;628;13011;4772;583;7,69;54,21;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
4;14959;"Critical Reviews in Neurobiology";journal;"08920915";2,995;Q1;57;0;25;0;168;25;2,83;0,00;United States;"Begell House";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1)"
5;16101;"Human Brain Mapping";journal;"10659471, 10970193";2,851;Q1;166;67;171;2995;996;169;5,08;44,70;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
6;20618;"Stroke";journal;"15244628, 00392499";2,816;Q1;285;589;1555;15527;7593;1236;5,61;26,36;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
7;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,527;Q1;149;111;351;5287;1860;340;5,02;47,63;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
8;14344;"Brain Pathology";journal;"10156305";2,487;Q1;119;64;173;2739;1052;169;5,07;42,80;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
9;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,405;Q1;170;157;480;7606;2664;476;5,33;48,45;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
10;17952;"Neurology";journal;"00283878";2,373;Q1;322;1125;3464;21701;16278;2797;5,33;19,29;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
11;18148;"Pain";journal;"03043959";2,192;Q1;229;259;767;10456;4101;708;5,52;40,37;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
12;23985;"Neurobiology of Aging";journal;"01974580";2,009;Q1;159;132;334;7862;1408;282;5,44;59,56;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
13;21100228519;"JAMA Neurology";journal;"21686149, 21686157";1,998;Q1;203;271;824;6662;3171;670;4,57;24,58;United States;"American Medical Association";"Neurology (clinical) (Q1)"
14;18069;"Neurosurgery";journal;"0148396";1,568;Q1;176;524;1241;8261;3318;1071;2,77;15,77;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Surgery (Q1)"
15;16760;"Journal of Neurology, Supplement";journal;"09391517";1,520;Q1;52;21;80;618;307;76;4,06;29,43;Germany;"Springer Verlag";"Neurology (Q1); Neurology (clinical) (Q1)"
16;17990;"Neuropathology and Applied Neurobiology";journal;"03051846, 13652990";1,480;Q1;82;51;169;2187;510;149;3,33;42,88;United Kingdom;"Blackwell Publishing Inc.";"Histology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Physiology (medical) (Q1)"
17;17500155152;"American Journal on Intellectual and Developmental Disabilities";journal;"19447515, 19447558";1,458;Q1;74;42;130;1559;231;122;1,96;37,12;United States;"American Association on Intellectual and Developmental Disabilities";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuropsychology and Physiological Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
18;16749;"Journal of Neuroimmunology";journal;"01655728";1,446;Q1;127;272;779;11466;2955;766;3,68;42,15;Netherlands;"Elsevier BV";"Immunology (Q1); Immunology and Allergy (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
19;16767;"Journal of Neurosurgery";journal;"00223085";1,429;Q1;184;656;1569;16593;4035;1345;2,54;25,29;United States;"American Association of Neurological Surgeons";"Neurology (clinical) (Q1); Surgery (Q1)"
20;15510;"Epilepsia";journal;"00139580, 15281167";1,365;Q1;168;369;1098;10334;3603;1029;3,25;28,01;United Kingdom;"Blackwell Publishing Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
21;20028;"American Journal of Neuroradiology";journal;"01956108";1,365;Q1;158;353;1155;6394;2787;965;2,71;18,11;United States;"American Society of Neuoradiology";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
22;13068;"Spine";journal;"03622436";1,336;Q1;224;646;1657;13566;4240;1480;2,51;21,00;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
23;20041;"Neurourology and Urodynamics";journal;"15206777, 07332467";1,296;Q1;79;62;154;1466;264;132;2,06;23,65;United States;"John Wiley & Sons Inc.";"Neurology (clinical) (Q1); Urology (Q1)"
24;14346;"Brain Research";journal;"00068993";1,291;Q1;183;973;3958;39941;10835;3936;2,55;41,05;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Developmental Biology (Q2); Molecular Biology (Q2)"
25;14993;"Current Opinion in Neurology";journal;"13507540, 14736551";1,263;Q1;107;107;314;5181;964;293;3,31;48,42;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (Q1); Neurology (clinical) (Q1)"
26;12235;"Journal of Neurotrauma";journal;"08977151";1,261;Q1;127;117;344;5839;1137;336;3,34;49,91;United States;"Mary Ann Liebert Inc.";"Neurology (clinical) (Q1)"
27;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330, 00223050";1,238;Q1;182;454;1419;9841;3241;947;3,17;21,68;United Kingdom;"BMJ Publishing Group";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
28;19830;"Sleep";journal;"01618105";1,197;Q1;175;102;373;3697;1282;341;2,78;36,25;United States;"Oxford University Press";"Neurology (clinical) (Q1); Physiology (medical) (Q1)"
29;17407;"Movement Disorders";journal;"15318257, 08853185";1,169;Q1;166;344;703;9459;1696;598;2,67;27,50;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
30;14900;"Clinical Neurophysiology";journal;"13882457";1,131;Q1;157;233;860;8785;2026;829;2,36;37,70;Netherlands;"Elsevier BV";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Sensory Systems (Q1)"
31;17552;"Acta Neuropathologica";journal;"14320533, 00016322";1,119;Q1;136;173;555;6077;1339;542;2,46;35,13;Germany;"Springer Verlag";"Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Cellular and Molecular Neuroscience (Q2)"
32;14314;"Otology and Neurotology";journal;"15317129";1,116;Q1;90;193;493;3456;627;438;1,30;17,91;United States;"Lippincott Williams & Wilkins Ltd.";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Otorhinolaryngology (Q1); Sensory Systems (Q2)"
33;14841;"Cephalalgia";journal;"14682982, 03331024";1,089;Q1;111;135;405;3289;856;303;2,55;24,36;United States;"SAGE Publications";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
34;16790;"Journal of Pain and Symptom Management";journal;"08853924";1,065;Q1;124;186;447;4010;1121;338;3,12;21,56;Netherlands;"Elsevier BV";"Anesthesiology and Pain Medicine (Q1); Neurology (clinical) (Q1); Nursing (miscellaneous) (Q1)"
35;17494;"Neuroepidemiology";journal;"02515350, 14230208";1,057;Q1;74;47;123;1352;272;115;2,31;28,77;Switzerland;"S. Karger AG";"Neurology (clinical) (Q1); Epidemiology (Q2)"
