Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2010);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;16860;"The Lancet Neurology";journal;"14744422";8,538;Q1;240;257;727;8776;7215;348;21,27;34,15;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
2;14317;"Brain";journal;"14602156, 00068950";5,739;Q1;296;357;1000;18211;9600;836;10,38;51,01;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
3;14179;"Annals of Neurology";journal;"03645134, 15318249";5,498;Q1;266;334;753;8230;5898;523;11,44;24,64;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
4;14351;"Brain Research Reviews";journal;"01650173";4,840;Q1;180;46;289;7637;2702;283;9,58;166,02;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
5;17552;"Acta Neuropathologica";journal;"14320533, 00016322";3,705;Q1;136;147;423;8946;3041;368;8,18;60,86;Germany;"Springer Verlag";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
6;20618;"Stroke";journal;"15244628, 00392499";3,349;Q1;285;717;2339;15932;12505;1766;6,62;22,22;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
7;21100228519;"JAMA Neurology";journal;"21686149, 21686157";3,271;Q1;203;309;943;6646;5082;723;7,02;21,51;United States;"American Medical Association";"Neurology (clinical) (Q1)"
8;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,192;Q1;166;165;586;9369;3580;579;5,73;56,78;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
9;17952;"Neurology";journal;"00283878";3,192;Q1;322;1132;3533;18608;16448;2309;6,73;16,44;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
10;18148;"Pain";journal;"03043959";2,688;Q1;229;384;1108;15179;6114;855;6,34;39,53;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
11;19830;"Sleep";journal;"01618105";2,681;Q1;175;225;603;8519;3873;507;6,77;37,86;United States;"Oxford University Press";"Neurology (clinical) (Q1); Physiology (medical) (Q1)"
12;23985;"Neurobiology of Aging";journal;"01974580";2,645;Q1;159;228;609;10910;3636;602;5,87;47,85;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
13;18059;"Neuroscientist";journal;"10738584";2,627;Q1;107;76;219;4144;999;215;3,53;54,53;United States;"Sage Science Press";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
14;5700191214;"Molecular Neurodegeneration";journal;"17501326";2,545;Q1;60;61;108;3408;565;106;5,10;55,87;United Kingdom;"BioMed Central";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
15;5100155080;"Neurotherapeutics";journal;"19337213";2,320;Q1;96;53;221;4993;1439;207;7,08;94,21;United States;"Springer New York LLC";"Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
16;16757;"Journal of Neurology, Neurosurgery and Psychiatry";journal;"1468330, 00223050";2,316;Q1;182;371;1145;7834;4480;862;5,06;21,12;United Kingdom;"BMJ Publishing Group";"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1); Surgery (Q1)"
17;14344;"Brain Pathology";journal;"10156305";2,264;Q1;119;123;245;5570;1156;221;4,39;45,28;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
18;17407;"Movement Disorders";journal;"15318257, 08853185";2,257;Q1;166;598;1568;15706;6287;1256;4,72;26,26;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
19;12499;"Neuro-Oncology";journal;"15228517";2,190;Q1;94;150;219;5010;1099;193;5,57;33,40;United States;"Oxford University Press";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)"
20;14993;"Current Opinion in Neurology";journal;"13507540, 14736551";2,173;Q1;107;111;353;5704;1766;315;5,37;51,39;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (Q1); Neurology (clinical) (Q1)"
21;33648;"Neurorehabilitation and Neural Repair";journal;"15459683";2,122;Q1;87;95;241;3762;1139;229;4,85;39,60;United States;"Sage Science Press";"Neurology (Q1); Neurology (clinical) (Q1); Rehabilitation (Q1)"
22;32816;"Neural Plasticity";journal;"07928483, 16875443";2,109;Q1;50;11;60;659;222;57;2,15;59,91;Egypt;"Hindawi Publishing Corporation";"Neurology (Q1); Neurology (clinical) (Q1)"
23;19837;"Sleep Medicine Reviews";journal;"10870792";2,085;Q1;116;47;136;3716;969;102;8,24;79,06;United Kingdom;"Elsevier Ltd.";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
24;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,061;Q1;149;115;359;5609;1607;340;4,61;48,77;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Cellular and Molecular Neuroscience (Q2)"
25;130034;"Current Alzheimer Research";journal;"15672050";2,034;Q1;74;85;221;4077;1159;208;5,60;47,96;United Arab Emirates;"Bentham Science Publishers";"Neurology (Q1); Neurology (clinical) (Q1)"
26;19700174928;"ASN Neuro";journal;"17590914";2,015;Q1;31;24;21;1639;75;20;3,75;68,29;United Kingdom;"Portland Press, Ltd.";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
27;11700154204;"Brain Stimulation";journal;"1935861";1,878;Q1;55;37;78;1235;269;55;4,89;33,38;Netherlands;"Elsevier BV";"Biophysics (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
28;20028;"American Journal of Neuroradiology";journal;"01956108";1,864;Q1;158;427;1329;10031;4766;1118;4,20;23,49;United States;"American Society of Neuoradiology";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
29;14945;"Cortex";journal;"00109452";1,838;Q1;93;142;400;8322;2095;340;6,74;58,61;France;"Masson Publishing";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Neuropsychology and Physiological Psychology (Q1)"
